cls_name,defect_type,img_path,coverage_gain,missed_recovery,component_recall_gain,detail_prompt
zipper,squeezed_teeth,/Users/bytedance/Downloads/mvtec_anomaly_detection/zipper/test/squeezed_teeth/004.png,0.15577889447236182,0.15577889447236182,1.0,a photo of a zipper with a small irregular squeezed teeth in the upper region.
zipper,squeezed_teeth,/Users/bytedance/Downloads/mvtec_anomaly_detection/zipper/test/squeezed_teeth/001.png,0.12365672771303163,0.12365672771303163,1.0,a photo of a zipper with a medium-sized irregular squeezed teeth in the upper region.
zipper,squeezed_teeth,/Users/bytedance/Downloads/mvtec_anomaly_detection/zipper/test/squeezed_teeth/007.png,0.07395097631906938,0.07395097631906938,1.0,a photo of a zipper with a medium-sized irregular squeezed teeth in the upper region.
zipper,split_teeth,/Users/bytedance/Downloads/mvtec_anomaly_detection/zipper/test/split_teeth/017.png,0.0717341699942955,0.0717341699942955,1.0,a photo of a zipper with a medium-sized irregular split teeth in the central region.
pill,faulty_imprint,/Users/bytedance/Downloads/mvtec_anomaly_detection/pill/test/faulty_imprint/003.png,0.06967316949581961,0.06967316949581961,1.0,a photo of a pill with a medium-sized irregular faulty imprint in the central region.
cable,missing_cable,/Users/bytedance/Downloads/mvtec_anomaly_detection/cable/test/missing_cable/010.png,0.03956084680594803,0.03956084680594803,1.0,a photo of a cable with a large irregular missing cable in the central region.
zipper,squeezed_teeth,/Users/bytedance/Downloads/mvtec_anomaly_detection/zipper/test/squeezed_teeth/006.png,0.03577611079053664,0.03577611079053664,1.0,a photo of a zipper with a small irregular squeezed teeth in the lower region.
zipper,squeezed_teeth,/Users/bytedance/Downloads/mvtec_anomaly_detection/zipper/test/squeezed_teeth/015.png,0.03560689982592182,0.03560689982592182,1.0,a photo of a zipper with a medium-sized vertical elongated squeezed teeth in the upper region.
zipper,split_teeth,/Users/bytedance/Downloads/mvtec_anomaly_detection/zipper/test/split_teeth/001.png,0.03502906976744186,0.03502906976744186,1.0,a photo of a zipper with a medium-sized irregular split teeth in the upper region.
zipper,combined,/Users/bytedance/Downloads/mvtec_anomaly_detection/zipper/test/combined/014.png,0.03349661432070307,0.03349661432070307,1.0,a photo of a zipper with a large irregular combined defects in the lower region.
zipper,squeezed_teeth,/Users/bytedance/Downloads/mvtec_anomaly_detection/zipper/test/squeezed_teeth/012.png,0.026306039273805114,0.026306039273805114,1.0,a photo of a zipper with a medium-sized irregular squeezed teeth in the lower region.
zipper,split_teeth,/Users/bytedance/Downloads/mvtec_anomaly_detection/zipper/test/split_teeth/002.png,0.01588352084712111,0.01588352084712111,1.0,a photo of a zipper with a medium-sized irregular split teeth in the upper region.
